snapped_at,price,market_cap,total_volume
2017-09-17 00:00:00 UTC,249.66654597502800,23638636295.481900,336444511.1569670
2017-09-18 00:00:00 UTC,287.96109568877300,27269907986.777300,935880977.9429080
2017-09-19 00:00:00 UTC,280.4456323420790,26563613422.607800,518505103.8522600
2017-09-20 00:00:00 UTC,279.4176492108520,26471592194.703300,322301352.00916200
2017-09-21 00:00:00 UTC,257.465074465559,24396830727.284500,470196974.05520800
2017-09-22 00:00:00 UTC,263.46977368373400,24969981050.951000,343728639.336796
2017-09-23 00:00:00 UTC,283.22215899335100,26846246384.287200,365565238.54476000
2017-09-24 00:00:00 UTC,280.68104473460200,26609714675.1668,473679365.7914860
2017-09-25 00:00:00 UTC,288.0857009417580,27316005855.910400,367147869.49683600
2017-09-26 00:00:00 UTC,283.9294530726590,26926232192.184600,240690671.2951270
2017-09-27 00:00:00 UTC,302.1518453516760,28658972908.46480,394839374.31574600
2017-09-28 00:00:00 UTC,294.3138380117380,27919976584.315700,344032408.65444700
2017-09-29 00:00:00 UTC,288.11459689868100,27336170625.13590,401420308.2527800
2017-09-30 00:00:00 UTC,297.2689355700250,28209139740.689000,234494285.9120730
2017-10-01 00:00:00 UTC,299.6748890236150,28442001971.008800,208656622.10220400
2017-10-02 00:00:00 UTC,295.8400297394860,28082506249.729800,228753338.77109600
2017-10-03 00:00:00 UTC,292.2107206992580,27742435562.94360,213674545.194013
2017-10-04 00:00:00 UTC,293.0357027858310,27825239443.20580,167895948.31847600
2017-10-05 00:00:00 UTC,293.71934612048600,27894664349.155300,166289551.89366700
2017-10-06 00:00:00 UTC,307.7089805559560,29227935374.982,223872523.77550800
2017-10-07 00:00:00 UTC,309.5982491240280,29412044193.592100,259031771.53758500
2017-10-08 00:00:00 UTC,307.05813687389900,29175396936.827000,195574551.40328000
2017-10-09 00:00:00 UTC,295.901045084102,28119791744.856300,422803467.0821770
2017-10-10 00:00:00 UTC,299.9170113647280,28506074217.358100,262661724.03535300
2017-10-11 00:00:00 UTC,303.2474665353710,28827311270.280400,179994094.52123000
2017-10-12 00:00:00 UTC,302.0199976805080,28715264952.728800,389123581.441959
2017-10-13 00:00:00 UTC,337.9526134340300,32136884949.300300,1062936136.5475400
2017-10-14 00:00:00 UTC,335.33824482981400,31893398413.31950,384671082.3691580
2017-10-15 00:00:00 UTC,335.3913549863650,31903683068.492900,513925811.79312500
2017-10-16 00:00:00 UTC,331.967214731027,31583306698.85390,536987705.5520870
2017-10-17 00:00:00 UTC,317.898212514702,30251186909.138400,368660409.98234000
2017-10-18 00:00:00 UTC,314.456554240651,29930081747.853600,459286354.2531360
2017-10-19 00:00:00 UTC,308.4746839282340,29366946306.63260,251750069.63289000
2017-10-20 00:00:00 UTC,302.35649692557000,28790749976.831600,270984512.97597700
2017-10-21 00:00:00 UTC,300.69384596228300,28638437008.879900,291385148.2978590
2017-10-22 00:00:00 UTC,295.4882479105150,28148745034.196100,227830530.53531400
2017-10-23 00:00:00 UTC,289.4140251237580,27575920805.165600,357572834.9115810
2017-10-24 00:00:00 UTC,298.75573430773300,28472255904.29290,522634263.28485000
2017-10-25 00:00:00 UTC,298.4839668215050,28452391049.617900,224745395.63136000
2017-10-26 00:00:00 UTC,295.7078546189940,28192911056.673800,175211825.16558700
2017-10-27 00:00:00 UTC,297.9291296930050,28411617292.93480,165062612.7640000
2017-10-28 00:00:00 UTC,296.4649529071600,28278036785.292800,178675171.42583300
2017-10-29 00:00:00 UTC,303.74113040048800,28978234226.357700,400151389.4858400
2017-10-30 00:00:00 UTC,306.2494615338920,29223725935.84830,245646777.54787100
2017-10-31 00:00:00 UTC,303.54211702851400,28971625622.98320,275058601.9442180
2017-11-01 00:00:00 UTC,292.33053872865400,27907457658.55730,343876003.8559510
2017-11-02 00:00:00 UTC,287.0696687458830,27411044537.063000,727168619.8327090
2017-11-03 00:00:00 UTC,305.8432726789200,29209850779.092900,493531953.8114270
2017-11-04 00:00:00 UTC,299.9549103522950,28653533860.136100,317726072.07408800
2017-11-05 00:00:00 UTC,297.5173231052640,28426818646.719700,250477635.77464700
2017-11-06 00:00:00 UTC,301.370794552855,28801102723.032700,472946830.30819500
2017-11-07 00:00:00 UTC,295.23511338265700,28220768686.35800,415882643.8192560
2017-11-08 00:00:00 UTC,308.9339866357260,29536454012.04310,755752328.1239890
2017-11-09 00:00:00 UTC,322.32952048358900,30823742534.2921,691815366.2495630
2017-11-10 00:00:00 UTC,301.3549333527750,28824163917.314200,650505791.3247350
2017-11-11 00:00:00 UTC,316.2583419604270,30256030132.159700,618676053.5502170
2017-11-12 00:00:00 UTC,314.1661277072690,30062176933.46010,1172943695.0944400
2017-11-13 00:00:00 UTC,315.34395637188800,30181430682.324700,783366133.855764
2017-11-14 00:00:00 UTC,338.937627406501,32446360785.0723,507718197.434228
2017-11-15 00:00:00 UTC,334.286932546348,32007998528.5458,518053273.608587
2017-11-16 00:00:00 UTC,330.021315646911,31606240405.8994,540577805.468288
2017-11-17 00:00:00 UTC,333.351255037181,31931961399.8328,408873409.223705
2017-11-18 00:00:00 UTC,348.74721545667,33413835153.7437,437969175.189351
2017-11-19 00:00:00 UTC,353.43572964676,33870265876.0073,892315491.355752
2017-11-20 00:00:00 UTC,365.786815977961,35061352161.7675,511630930.906117
2017-11-21 00:00:00 UTC,361.055822571048,34615252499.3341,667087478.419292
2017-11-22 00:00:00 UTC,379.409057274538,36382569909.3727,502690893.802197
2017-11-23 00:00:00 UTC,412.557611501513,39569679447.7058,1357607759.02526
2017-11-24 00:00:00 UTC,475.002014978137,45568623853.9817,1710984791.93773
2017-11-25 00:00:00 UTC,467.446390045639,44853255083.9293,1062451148.98556
2017-11-26 00:00:00 UTC,468.998099373249,45011721609.851,848847109.547722
2017-11-27 00:00:00 UTC,484.362624150733,46496118377.9175,982703877.999528
2017-11-28 00:00:00 UTC,474.182894748523,45528555887.0189,640921145.689493
2017-11-29 00:00:00 UTC,428.345443336342,41136242461.6215,1864835257.85043
2017-11-30 00:00:00 UTC,454.160981519821,43624717838.8218,1302713009.05289
2017-12-01 00:00:00 UTC,469.863479570669,45142640782.4465,731926955.703011
2017-12-02 00:00:00 UTC,469.857050536754,45151510929.4977,571377802.810273
2017-12-03 00:00:00 UTC,461.880481908051,44394413397.1167,513723192.525671
2017-12-04 00:00:00 UTC,472.252735495896,45400977761.2147,559902818.597381
2017-12-05 00:00:00 UTC,467.016662982671,44907252844.2554,590010796.38345
2017-12-06 00:00:00 UTC,448.328222164605,43118585011.2992,5911434.14179457
2017-12-07 00:00:00 UTC,451.825581860168,43465282557.5874,968306459.942749
2017-12-08 00:00:00 UTC,467.881662612901,45019411221.6764,1578944197.85945
2017-12-09 00:00:00 UTC,482.035518858509,46391200044.4373,1109058208.5207
2017-12-10 00:00:00 UTC,446.691058078548,42998769813.0645,900203443.334746
2017-12-11 00:00:00 UTC,509.000876237775,49007073662.9809,1035160071.24411
2017-12-12 00:00:00 UTC,661.841332287634,63736319679.7109,3691983511.74634
2017-12-13 00:00:00 UTC,709.883193572531,68377310760.8715,2717113879.86409
2017-12-14 00:00:00 UTC,704.621843737326,67885165267.6573,2551109082.71176
2017-12-15 00:00:00 UTC,693.09706413276,66789398252.0671,1942292719.83027
2017-12-16 00:00:00 UTC,702.244612799479,67685238860.8431,1323743950.88971
2017-12-17 00:00:00 UTC,728.700471211578,70249967413.1925,1297439773.48386
2017-12-18 00:00:00 UTC,798.115404033608,76958112624.052,2104028876.27651
2017-12-19 00:00:00 UTC,829.989201766042,80048859677.1559,2383800980.37899
2017-12-20 00:00:00 UTC,813.403602277568,78466047306.039,2174389927.16457
